comp1;comp2
SMOOTH HOTELS;Starbucks-Percassi
SMOOTH HOTELS;UNICOOP FIRENZE
FRONERI;MAG HOTELS
FRONERI;SMOOTH HOTELS
FRONERI;MOOD HOTELS
FRONERI;Gi Group Horeca
FRONERI;Lego-Percassi
FRONERI;Nike-Percassi
FRONERI;Gi Group
FRONERI;RED
FRONERI;Antica Focacceria San Francesco
FRONERI;Victoria's secret - Percassi 
Gi Group Horeca;MAG HOTELS
Gi Group Horeca;FRONERI
Gi Group Horeca;SMOOTH HOTELS
Gi Group Horeca;MOOD HOTELS
Gi Group Horeca;Lego-Percassi
Gi Group Horeca;Nike-Percassi
Gi Group Horeca;Gi Group
Gi Group Horeca;Antica Focacceria San Francesco
Gi Group Horeca;RED
Gi Group Horeca;Victoria's secret - Percassi 
Antica Focacceria San Francesco;Gi Group
Antica Focacceria San Francesco;UNICOOP FIRENZE
Antica Focacceria San Francesco;Nike-Percassi
Antica Focacceria San Francesco;Starbucks-Percassi
Antica Focacceria San Francesco;Dmail-Percassi
Antica Focacceria San Francesco;Roche UK
Antica Focacceria San Francesco;Victoria's secret - Percassi 
Antica Focacceria San Francesco;Lego-Percassi
Antica Focacceria San Francesco;RED
Antica Focacceria San Francesco;MOOD HOTELS
RED;Antica Focacceria San Francesco
RED;Nike-Percassi
RED;Victoria's secret - Percassi 
RED;Gi Group
RED;Lego-Percassi
RED;Starbucks-Percassi
RED;UNICOOP FIRENZE
RED;Dmail-Percassi
RED;Roche UK
RED;MOOD HOTELS
Siram;Starbucks-Percassi
Siram;UNICOOP FIRENZE
Siram;Dmail-Percassi
Siram;Victoria's secret - Percassi 
Siram;Gi Group
Siram;Antica Focacceria San Francesco
Siram;Roche UK
Siram;Nike-Percassi
Siram;Lego-Percassi
Siram;RED
Open Fiber;EVERIS
Open Fiber;SMOOTH HOTELS
Open Fiber;Cellularline
Open Fiber;Datalogic
Open Fiber;MAG HOTELS
Open Fiber;RED
Open Fiber;Lego-Percassi
Open Fiber;FRONERI
Open Fiber;MOOD HOTELS
Open Fiber;Tech Data
EVERIS;Cellularline
EVERIS;RED
EVERIS;Lego-Percassi
EVERIS;Nike-Percassi
EVERIS;Gi Group
EVERIS;Starbucks-Percassi
EVERIS;Antica Focacceria San Francesco
EVERIS;Victoria's secret - Percassi 
EVERIS;UNICOOP FIRENZE
EVERIS;MOOD HOTELS
Victoria's secret - Percassi ;Antica Focacceria San Francesco
Victoria's secret - Percassi ;Nike-Percassi
Victoria's secret - Percassi ;Gi Group
Victoria's secret - Percassi ;UNICOOP FIRENZE
Victoria's secret - Percassi ;Starbucks-Percassi
Victoria's secret - Percassi ;Dmail-Percassi
Victoria's secret - Percassi ;Roche UK
Victoria's secret - Percassi ;Lego-Percassi
Victoria's secret - Percassi ;RED
Victoria's secret - Percassi ;MOOD HOTELS
