User_Id;rated_companies;suggested_companies
2339;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['Bricoman Italia' 'Leroy Merlin' 'Bosch' 'Employerland Demo' 'Cerved']
2341;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2342;['LUXOTTICA BRAZIL LTDA'];['Calzedonia' 'Goldenpoint' 'Employerland' 'RAI' 'Elica']
2346;['Employerland'];['Tech Data' 'Whirlpool' 'Datalogic' 'Roche UK' 'Elica']
2349;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2356;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2359;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2361;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2362;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2363;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2366;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2367;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2369;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2371;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Tech Data' 'Datalogic' 'Whirlpool' ""Victoria's secret - Percassi ""
 'EVERIS']"
