job_ID;similar_ID;similarity_value
409;[100 293 294 295 296 297 298 299 300 301 302 303 304 305 409 410 411 502];"[0.39599351 0.33260103 0.3530567  0.33185742 0.36938903 0.42219197
 0.32206308 0.31529587 0.33559333 0.33007039 0.36255418 0.30970301
 0.35149647 0.39480675 1.         0.89919104 0.39776374 0.33460577]"
410;[100 293 294 295 296 297 298 299 300 301 302 303 304 305 409 410 411 502];"[0.45423199 0.38827358 0.41473795 0.38840692 0.43267828 0.49282479
 0.37561917 0.36446085 0.39559727 0.37885448 0.42747395 0.36435481
 0.40985364 0.45237618 0.89919104 1.         0.44283435 0.38219263]"
411;"[100 293 294 295 296 297 298 299 300 301 302 303 304 305 409 410 411 412
 502]";"[0.44594954 0.40080025 0.40334097 0.36569989 0.39747983 0.43697304
 0.34989613 0.3339501  0.39286219 0.32349938 0.41544892 0.32992604
 0.41379641 0.44840483 0.39776374 0.44283435 1.         0.31325126
 0.54578543]"
412;[411 412 502];[0.31325126 1.         0.80382847]
413;[413];[1.]
502;"[100 293 294 295 296 297 298 299 300 301 302 303 304 305 409 410 411 412
 502]";"[0.44809777 0.3779856  0.39452618 0.37147799 0.40452987 0.42984211
 0.33734541 0.36940023 0.39201421 0.3359806  0.47738615 0.33691093
 0.43007955 0.44961572 0.33460577 0.38219263 0.54578543 0.80382847
 1.        ]"
388;[388];[1.]
335;[ 335 1207 1208 1326];[1.         0.78308528 0.36877067 0.34262112]
336;[336];[1.]
337;[337 338];[1.         0.65287862]
338;[337 338];[0.65287862 1.        ]
153;[153];[1.]
97;[  97  165 1208 1326];[1.         0.37907913 0.39553236 0.40549955]
165;[  97  165  166  168  173 1208 1326];"[0.37907913 1.         0.34448223 0.39417096 0.30029588 0.54474607
 0.57696791]"
166;[165 166 171];[0.34448223 1.         0.54703462]
168;[165 168];[0.39417096 1.        ]
169;[169 171];[1.         0.30465848]
170;[170];[1.]
171;[166 169 171];[0.54703462 0.30465848 1.        ]
173;[165 173];[0.30029588 1.        ]
1207;[ 335 1207 1208 1326 1327];[0.78308528 1.         0.36342013 0.33787764 0.37411658]
1208;[ 335   97  165 1207 1208 1326];[0.36877067 0.39553236 0.54474607 0.36342013 1.         0.94592897]
1326;[ 335   97  165 1207 1208 1326];[0.34262112 0.40549955 0.57696791 0.33787764 0.94592897 1.        ]
1327;[1207 1327];[0.37411658 1.        ]
720;[720];[1.]
721;[721];[1.]
763;[763];[1.]
764;[764];[1.]
528;[528];[1.]
633;[633];[1.]
634;[634];[1.]
766;[ 766  767  709  710 1184  901  902  866  867  868  830];"[1.         0.82472476 0.9551866  0.77790478 0.34486346 0.70326814
 0.69003764 0.63711335 0.56728006 0.65609484 0.71330743]"
767;[ 766  767  709  710 1184  901  902  866  867  868  830];"[0.82472476 1.         0.78383375 0.7714922  0.41400819 0.68410094
 0.66946598 0.60516789 0.55016538 0.61318426 0.69788379]"
733;[733 710 902 866 867 868];[1.         0.32294898 0.31632101 0.37149353 0.32387044 0.33286553]
709;[ 766  767  709  710 1184  901  902  866  867  868  830];"[0.9551866  0.78383375 1.         0.76827429 0.31424479 0.67429761
 0.66028782 0.62177502 0.55217513 0.61578808 0.66930997]"
710;[766 767 733 709 710 901 902 866 867 868 830];"[0.77790478 0.7714922  0.32294898 0.76827429 1.         0.72219795
 0.70445887 0.63570593 0.59178372 0.657389   0.7303507 ]"
1143;[1143];[1.]
1144;[1144];[1.]
1145;[1145];[1.]
1184;[ 766  767  709 1184];[0.34486346 0.41400819 0.31424479 1.        ]
1185;[1185];[1.]
989;[989 950];[1.         0.54398203]
990;[990 948 949];[1.         0.3043682  0.88104941]
991;[991 868];[1.         0.51438212]
1055;[1055  438];[1.         0.30747654]
1056;[1056];[1.]
901;[766 767 709 710 901 902 866 867 868 830];"[0.70326814 0.68410094 0.67429761 0.72219795 1.         0.67892715
 0.59773932 0.55757217 0.62451192 0.68254517]"
902;[766 767 733 709 710 901 902 866 867 868 830];"[0.69003764 0.66946598 0.31632101 0.66028782 0.70445887 0.67892715
 1.         0.67151842 0.63275194 0.67071031 0.6808343 ]"
948;[990 948 949];[0.3043682  1.         0.30238541]
949;[990 948 949];[0.88104941 0.30238541 1.        ]
950;[989 950];[0.54398203 1.        ]
944;[944];[1.]
866;[766 767 733 709 710 901 902 866 867 868 830];"[0.63711335 0.60516789 0.37149353 0.62177502 0.63570593 0.59773932
 0.67151842 1.         0.70009351 0.73580389 0.59836422]"
867;[766 767 733 709 710 901 902 866 867 868 830];"[0.56728006 0.55016538 0.32387044 0.55217513 0.59178372 0.55757217
 0.63275194 0.70009351 1.         0.65947971 0.55070706]"
868;[766 767 733 709 710 991 901 902 866 867 868 830];"[0.65609484 0.61318426 0.33286553 0.61578808 0.657389   0.51438212
 0.62451192 0.67071031 0.73580389 0.65947971 1.         0.6328437 ]"
830;[766 767 709 710 901 902 866 867 868 830];"[0.71330743 0.69788379 0.66930997 0.7303507  0.68254517 0.6808343
 0.59836422 0.55070706 0.6328437  1.        ]"
